epoch,mark,Measured Torque (R),Desired Torque (R),Measured Torque (L),Desired Torque (L),Gait/100 (R),Toe FSR (R),Gait/100 (L),Toe FSR (L),Heel FSBattery Level (Volts),???
1784017721.197865,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.100000,0.000000,0.000000
1784017721.230464,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.450000,0.000000,0.000000
1784017721.257458,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.490000,0.000000,0.000000
1784017721.259861,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.370000,0.000000,0.000000
1784017721.272981,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.280000,0.000000,0.000000
1784017721.277517,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.370000,0.000000,0.250000
1784017721.278930,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.370000,0.000000,0.000000
1784017721.296548,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.490000,0.000000,0.000000
1784017721.297185,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.370000,0.000000,0.000000
1784017721.317752,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.450000,0.000000,0.000000
1784017721.334908,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.370000,0.090000,0.000000
1784017721.357995,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.280000,0.000000,0.000000
1784017721.358870,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.250000,0.000000,0.000000
1784017721.379192,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.220000,0.000000,0.000000
1784017721.385857,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.130000,0.000000,0.000000
1784017721.421838,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.990000,0.000000,0.000000
1784017721.430440,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.220000,0.000000,0.000000
1784017721.442796,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.450000,0.000000,0.250000
1784017721.469027,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.750000,0.000000,0.000000
1784017721.469888,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.650000,0.000000,0.250000
1784017721.497758,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.310000,0.000000,0.000000
1784017721.506894,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.770000,0.000000,0.000000
1784017721.528036,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.720000,0.000000,0.000000
1784017721.707093,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.720000,0.030000,0.000000
1784017721.708117,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.530000,0.000000,0.000000
1784017721.722078,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.530000,0.000000,0.000000
1784017721.813011,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.430000,0.000000,0.000000
1784017721.814488,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.130000,0.000000,0.000000
1784017721.815721,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,5.780000,0.000000,0.000000
1784017721.827863,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,5.550000,0.000000,0.000000
1784017721.828539,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,5.550000,0.000000,0.000000
1784017721.829338,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,7.900000,0.000000,0.000000
1784017721.850897,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,9.210000,0.000000,0.000000
1784017721.851736,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,10.100000,0.000000,0.000000
1784017721.873692,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,10.340000,0.000000,0.000000
1784017721.879137,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,10.570000,0.000000,0.000000
1784017721.895182,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,11.440000,0.000000,0.000000
1784017721.918569,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,12.650000,0.000000,0.000000
1784017721.975722,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,13.220000,0.000000,0.000000
1784017721.976313,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,13.820000,0.000000,0.000000
1784017721.978018,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,14.130000,0.000000,0.000000
1784017721.979186,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,13.380000,0.000000,0.000000
1784017721.984581,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,12.380000,0.000000,0.000000
1784017722.022492,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,9.880000,0.000000,0.000000
1784017722.029458,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,9.530000,0.000000,0.500000
1784017722.030584,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,7.610000,0.030000,0.000000
1784017722.045200,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.400000,0.000000,0.000000
1784017722.088171,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.010000,0.000000,0.000000
1784017722.088801,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,7.610000,0.000000,0.000000
1784017722.107942,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,11.440000,0.000000,0.000000
1784017722.108479,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,11.970000,0.000000,0.000000
1784017722.127646,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,13.670000,0.000000,0.000000
1784017722.135916,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,13.820000,0.000000,0.500000
1784017722.157583,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,17.020000,0.000000,0.000000
1784017722.180221,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,18.950000,0.000000,0.000000
